persona,n_train_clients,config,cv_macro_f1_mean,cv_macro_f1_std,delta_vs_global,shrinkage_weight,shrunk_delta_vs_global,folds_beating_global,is_raw_best,selected_after_guardrails,used_global_fallback
Subscription regulars,586,mean_gap|grace=10|short_gate=true,0.43927483550373136,0.0074282085118021,-0.021284707731614505,0.6613995485327314,-0.01407769608434097,0,False,False,True
Subscription regulars,586,mean_gap|grace=7|short_gate=true,0.43800153639457057,0.009449950607206917,-0.022558006840775302,0.6613995485327314,-0.014919855540287052,0,False,False,True
Subscription regulars,586,mean_median_blend|grace=0|short_gate=true,0.4358304921079809,0.030571966060460528,-0.024729051127364954,0.6613995485327314,-0.016355783251282015,2,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=0|short_gate=true,0.43491369206829916,0.026562960071858127,-0.025645851167046707,0.6613995485327314,-0.016962154383622315,1,False,False,True
Subscription regulars,586,mean_gap|grace=3|short_gate=true,0.43383574003437725,0.01958405719031448,-0.02672380320096862,0.6613995485327314,-0.01767511137219821,1,False,False,True
Subscription regulars,586,recent3_median_gap|grace=10|short_gate=false,0.4326380585423589,0.028688969920496382,-0.027921484692986942,0.6613995485327314,-0.018467257370305135,1,False,False,True
Subscription regulars,586,recent3_median_gap|grace=7|short_gate=false,0.4320812935281184,0.03165950821357619,-0.028478249707227454,0.6613995485327314,-0.01883550149936263,1,False,False,True
Subscription regulars,586,recent3_median_gap|grace=3|short_gate=false,0.4310343502029649,0.03381002898842359,-0.029525193032380992,0.6613995485327314,-0.019527949341958534,1,False,False,True
Subscription regulars,586,recent3_median_gap|grace=5|short_gate=false,0.43089735816355185,0.028991620541996513,-0.029662185071794023,0.6613995485327314,-0.019618555814978893,1,False,False,True
Subscription regulars,586,calendar_dom|grace=10|short_gate=true,0.4298607475381095,0.04339366640664367,-0.03069879569723638,0.6613995485327314,-0.0203041696146507,0,False,False,True
Subscription regulars,586,median_gap|grace=5|short_gate=false,0.42976106563053484,0.023056261605575952,-0.030798477604811025,0.6613995485327314,-0.02037009918331745,1,False,False,True
Subscription regulars,586,median_gap|grace=10|short_gate=false,0.42954015362797,0.02943702083581889,-0.03101938960737588,0.6613995485327314,-0.020516210282079308,1,False,False,True
Subscription regulars,586,median_gap|grace=7|short_gate=false,0.4286439751742269,0.03182953316559948,-0.03191556806111895,0.6613995485327314,-0.021108942306789735,1,False,False,True
Subscription regulars,586,calendar_dom|grace=7|short_gate=true,0.42764598030481055,0.04394201600881663,-0.03291356293053532,0.6613995485327314,-0.021769015662859707,1,False,False,True
Subscription regulars,586,calendar_dom|grace=0|short_gate=true,0.4276445051258719,0.043327813896696876,-0.03291503810947399,0.6613995485327314,-0.02176999134554375,1,False,False,True
Subscription regulars,586,calendar_dom|grace=3|short_gate=true,0.4276445051258719,0.043327813896696876,-0.03291503810947399,0.6613995485327314,-0.02176999134554375,1,False,False,True
Subscription regulars,586,calendar_dom|grace=5|short_gate=true,0.42718376249171336,0.04136081484270575,-0.03337578074363251,0.6613995485327314,-0.022074726315765972,1,False,False,True
Subscription regulars,586,median_gap|grace=3|short_gate=false,0.4262846897819676,0.023943727639038466,-0.03427485345337827,0.6613995485327314,-0.02266937260008992,1,False,False,True
Subscription regulars,586,recent3_median_gap|grace=0|short_gate=false,0.42407310516968016,0.03671310974818417,-0.036486438065665705,0.6613995485327314,-0.024132113664198762,1,False,False,True
Subscription regulars,586,mean_gap|grace=0|short_gate=true,0.4238027150695401,0.029926699208198716,-0.03675682816580578,0.6613995485327314,-0.024310949554359126,1,False,False,True
Subscription regulars,586,mean_median_blend|grace=5|short_gate=false,0.4200647717065696,0.03365909518205101,-0.040494771528776285,0.6613995485327314,-0.02678322360706874,1,False,False,True
Subscription regulars,586,median_gap|grace=0|short_gate=false,0.41878498723146607,0.03403587552044239,-0.041774556003879804,0.6613995485327314,-0.027629672481121408,1,False,False,True
Subscription regulars,586,mean_median_blend|grace=10|short_gate=false,0.4177739878350507,0.03171792056165201,-0.04278555540029516,0.6613995485327314,-0.02829834702547739,1,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=5|short_gate=false,0.41701076628067935,0.023377606501395424,-0.043548776954666524,0.6613995485327314,-0.028803141416969057,0,False,False,True
